index,type,topic,python,style,fastapi_min_version,source_file,instruction
20,tutorial,custom,py310+,basic,312,docs_src/custom/response_tutorial009_py310.py.py,Create a FastAPI application with custom response classes or serialisation using standard parameter defaults and Python 3.10+ syntax. [ex009 · py310] (variant 2)
21,core_function,exceptions,py39+,source,312,fastapi/exceptions.py.py,Implement the FastAPI internal function `__init__` from `fastapi/exceptions.py.py`. [status_code]
22,tutorial,response,py310+,basic,312,docs_src/response/directly_tutorial002_py310.py.py,Implement response model validation and serialisation in FastAPI with standard parameter defaults and Python 3.10+ syntax. [ex002 · py310]
23,core_function,dependencies_utils,py39+,source,312,fastapi/dependencies_utils.py.py,Implement the FastAPI dependency injection utility `solve_dependencies`.
24,core_function,exception_handlers,py39+,source,312,fastapi/exception_handlers.py.py,Implement the FastAPI exception handler `http_exception_handler`.
25,core_function,routing,py39+,source,312,fastapi/routing.py.py,Implement the FastAPI routing utility `get`.
26,tutorial,query,py310+,annotated,312,docs_src/query/params_str_validations_tutorial015_an_py310.py.py,Create a FastAPI endpoint with optional and required query params using the `Annotated` type hint style and Python 3.10+ syntax. [ex015 · annotated · py310]
27,core_function,security_http,py39+,source,312,fastapi/security_http.py.py,Implement the FastAPI security utility `make_authenticate_headers`.
28,core_function,datastructures,py39+,source,312,fastapi/datastructures.py.py,Define the FastAPI internal data structure `write`.
29,tutorial,custom,py310+,annotated,312,docs_src/custom/request_and_route_tutorial001_an_py310.py.py,Create a FastAPI application with custom response classes or serialisation using the `Annotated` type hint style and Python 3.10+ syntax. [ex001 · annotated · py310]
30,core_function,_compat_shared,py39+,source,312,fastapi/_compat_shared.py.py,Implement the FastAPI internal function `field_annotation_is_sequence` from `fastapi/_compat_shared.py.py`.
31,core_function,param_functions,py39+,source,312,fastapi/param_functions.py.py,Implement the FastAPI `Path` parameter declaration function.
32,tutorial,background,py310+,annotated,312,docs_src/background/tasks_tutorial002_an_py310.py.py,Implement fire-and-forget background processing in FastAPI with the `Annotated` type hint style and Python 3.10+ syntax.
33,tutorial,pydantic,py310+,annotated,312,docs_src/pydantic/v1_in_v2_tutorial003_an_py310.py.py,Use Pydantic v2 models with a FastAPI endpoint using the `Annotated` type hint style and Python 3.10+ syntax. [ex003 · annotated · py310]
34,core_function,_compat_shared,py39+,source,312,fastapi/_compat_shared.py.py,Implement the FastAPI internal function `is_bytes_or_nonable_bytes_annotation` from `fastapi/_compat_shared.py.py`.
35,core_function,utils,py39+,source,312,fastapi/utils.py.py,Implement the FastAPI internal function `generate_unique_id` from `fastapi/utils.py.py`.
36,core_function,applications,py39+,source,312,fastapi/applications.py.py,Implement the FastAPI application method `trace`.
37,tutorial,dependencies,py310+,annotated,312,docs_src/dependencies/tutorial005_an_py310.py.py,Implement a FastAPI endpoint using `Depends()` with the `Annotated` type hint style and Python 3.10+ syntax. [ex005 · annotated · py310]
38,tutorial,path,py310+,basic,312,docs_src/path/operation_configuration_tutorial002b_py310.py.py,Implement path parameter type validation in a FastAPI endpoint using standard parameter defaults and Python 3.10+ syntax. [ex002 · py310] (variant 1)
39,tutorial,request,py310+,annotated,312,docs_src/request/files_tutorial001_03_an_py310.py.py,Write a FastAPI route that reads the raw HTTP request using the `Annotated` type hint style and Python 3.10+ syntax. [ex001 · annotated · py310]
40,core_function,routing,py39+,source,312,fastapi/routing.py.py,Implement the FastAPI routing utility `_merge_lifespan_context`.
41,tutorial,query,py310+,basic,312,docs_src/query/params_str_validations_tutorial003_py310.py.py,Implement query parameter validation in a FastAPI endpoint with standard parameter defaults and Python 3.10+ syntax. [ex003 · py310]
42,core_function,openapi_models,py39+,source,312,fastapi/openapi_models.py.py,Implement the FastAPI internal function `_validate` from `fastapi/openapi_models.py.py`.
43,tutorial,body,py310+,basic,312,docs_src/body/nested_models_tutorial002_py310.py.py,Write a FastAPI endpoint that accepts a JSON request body using standard parameter defaults and Python 3.10+ syntax. [ex002 · py310]
44,tutorial,handling,py310+,basic,312,docs_src/handling/errors_tutorial003_py310.py.py,Write a FastAPI application with custom HTTP exception handlers using standard parameter defaults and Python 3.10+ syntax. [ex003 · py310]
45,core_function,openapi_utils,py39+,source,312,fastapi/openapi_utils.py.py,Implement the FastAPI internal function `get_openapi_security_definitions` from `fastapi/openapi_utils.py.py`.
46,core_function,_compat_shared,py39+,source,312,fastapi/_compat_shared.py.py,Implement the FastAPI internal function `is_pydantic_v1_model_instance` from `fastapi/_compat_shared.py.py`.
47,tutorial,response,py310+,basic,312,docs_src/response/model_tutorial003_py310.py.py,Write a FastAPI endpoint that returns a typed response model using standard parameter defaults and Python 3.10+ syntax. [ex003 · py310]
48,tutorial,behind,py310+,basic,312,docs_src/behind/a_proxy_tutorial001_01_py310.py.py,Write a FastAPI implementation that demonstrates behind using standard parameter defaults and Python 3.10+ syntax. [ex001 · py310]
49,core_function,_compat_v2,py39+,source,312,fastapi/_compat_v2.py.py,Implement the FastAPI internal function `get_flat_models_from_field` from `fastapi/_compat_v2.py.py`.
50,core_function,openapi_utils,py39+,source,312,fastapi/openapi_utils.py.py,Implement the FastAPI internal function `get_openapi_path` from `fastapi/openapi_utils.py.py`.
51,tutorial,query,py310+,basic,312,docs_src/query/params_str_validations_tutorial006_py310.py.py,Create a FastAPI endpoint with optional and required query params using standard parameter defaults and Python 3.10+ syntax. [ex006 · py310] (variant 1)
52,core_function,openapi_utils,py39+,source,312,fastapi/openapi_utils.py.py,Implement the FastAPI internal function `get_openapi_operation_request_body` from `fastapi/openapi_utils.py.py`.
53,tutorial,cookie,py310+,annotated,312,docs_src/cookie/param_models_tutorial001_an_py310.py.py,Write a FastAPI endpoint that reads and sets cookies using the `Annotated` type hint style and Python 3.10+ syntax.
54,core_function,_compat_shared,py39+,source,312,fastapi/_compat_shared.py.py,Implement the FastAPI internal function `is_bytes_sequence_annotation` from `fastapi/_compat_shared.py.py`.
55,tutorial,handling,py310+,basic,312,docs_src/handling/errors_tutorial002_py310.py.py,Write a FastAPI application with custom HTTP exception handlers using standard parameter defaults and Python 3.10+ syntax. [ex002 · py310]
56,tutorial,custom,py310+,basic,312,docs_src/custom/request_and_route_tutorial001_py310.py.py,Create a FastAPI application with custom response classes or serialisation using standard parameter defaults and Python 3.10+ syntax. [ex001 · py310] (variant 2)
57,core_function,datastructures,py39+,source,312,fastapi/datastructures.py.py,Define the FastAPI internal data structure `_validate`.
58,tutorial,response,py310+,basic,312,docs_src/response/model_tutorial001_py310.py.py,Implement response model validation and serialisation in FastAPI with standard parameter defaults and Python 3.10+ syntax. [ex001 · py310] (variant 3)
59,tutorial,extra,py310+,basic,312,docs_src/extra/models_tutorial004_py310.py.py,Add extra OpenAPI data models or schema customisation to FastAPI using standard parameter defaults and Python 3.10+ syntax. [ex004 · py310]
60,tutorial,generate,py310+,basic,312,docs_src/generate/clients_tutorial002_py310.py.py,Write a FastAPI app designed for client SDK generation using standard parameter defaults and Python 3.10+ syntax. [ex002 · py310]
61,core_function,middleware_asyncexitstack,py39+,source,312,fastapi/middleware_asyncexitstack.py.py,Implement the FastAPI middleware component `__init__`.
62,tutorial,dependencies,py310+,basic,312,docs_src/dependencies/tutorial008c_py310.py.py,Show how to share dependencies across FastAPI routes using standard parameter defaults and Python 3.10+ syntax. [ex008 · py310]
63,core_function,routing,py39+,source,312,fastapi/routing.py.py,Implement the FastAPI routing utility `websocket`.
64,tutorial,schema,py310+,annotated,312,docs_src/schema/extra_example_tutorial003_an_py310.py.py,Customise the OpenAPI schema or JSON Schema in FastAPI using the `Annotated` type hint style and Python 3.10+ syntax. [ex003 · annotated · py310]
65,tutorial,bigger,py310+,annotated,312,docs_src/bigger/applications_app_an_py310_main.py.py,Organise a FastAPI project into multiple files and routers using the `Annotated` type hint style and Python 3.10+ syntax. [annotated · py310] (variant 4)
66,core_function,dependencies_models,py39+,source,312,fastapi/dependencies_models.py.py,Implement the FastAPI dependency injection utility `oauth_scopes`.
67,tutorial,graphql,py310+,basic,312,docs_src/graphql/_tutorial001_py310.py.py,Write a FastAPI implementation that demonstrates graphql using standard parameter defaults and Python 3.10+ syntax.
68,core_function,exceptions,py39+,source,312,fastapi/exceptions.py.py,Implement the FastAPI internal function `__init__` from `fastapi/exceptions.py.py`. [errors]
69,tutorial,body,py310+,basic,312,docs_src/body/updates_tutorial002_py310.py.py,Implement a Pydantic request body model and FastAPI POST route with standard parameter defaults and Python 3.10+ syntax. [ex002 · py310]
70,tutorial,security,py310+,basic,312,docs_src/security/tutorial003_py310.py.py,Implement standard parameter defaults and Python 3.10+ syntax security in a FastAPI application. [ex003 · py310]
71,core_function,security_http,py39+,source,312,fastapi/security_http.py.py,Implement the FastAPI security utility `__init__`. [scheme_name]
72,tutorial,body,py310+,basic,312,docs_src/body/tutorial001_py310.py.py,Implement a Pydantic request body model and FastAPI POST route with standard parameter defaults and Python 3.10+ syntax. [ex001 · py310]
73,core_function,routing,py39+,source,312,fastapi/routing.py.py,Implement the FastAPI routing utility `route`.
74,core_function,_compat_v2,py39+,source,312,fastapi/_compat_v2.py.py,Implement the FastAPI internal function `create_body_model` from `fastapi/_compat_v2.py.py`.
75,core_function,_compat_v2,py39+,source,312,fastapi/_compat_v2.py.py,Implement the FastAPI internal function `serialization_alias` from `fastapi/_compat_v2.py.py`.
76,tutorial,security,py310+,annotated,312,docs_src/security/tutorial006_an_py310.py.py,Write a FastAPI endpoint that implements the `Annotated` type hint style and Python 3.10+ syntax security authentication. [ex006 · annotated · py310]
77,core_function,_compat_v2,py39+,source,312,fastapi/_compat_v2.py.py,Implement the FastAPI internal function `get_model_name_map` from `fastapi/_compat_v2.py.py`.
78,tutorial,header,py310+,basic,312,docs_src/header/param_models_tutorial003_py310.py.py,Implement custom header parameters in a FastAPI endpoint with standard parameter defaults and Python 3.10+ syntax. [ex003 · py310]
79,core_function,security_api_key,py39+,source,312,fastapi/security_api_key.py.py,Implement the FastAPI security utility `__init__`. [name]
80,tutorial,python,py310+,basic,312,docs_src/python/types_tutorial007_py310.py.py,Write a FastAPI route using Python py310+ type hint features with standard parameter defaults and Python 3.10+ syntax. [ex007 · py310]
81,tutorial,additional,py310+,basic,312,docs_src/additional/responses_tutorial003_py310.py.py,Implement a FastAPI example for additional using standard parameter defaults and Python 3.10+ syntax.
82,core_function,security_http,py39+,source,312,fastapi/security_http.py.py,Implement the FastAPI security utility `__init__`. [scheme]
83,tutorial,generate,py310+,basic,312,docs_src/generate/clients_tutorial001_py310.py.py,Write a FastAPI app designed for client SDK generation using standard parameter defaults and Python 3.10+ syntax. [ex001 · py310]
84,core_function,_compat_v2,py39+,source,312,fastapi/_compat_v2.py.py,Implement the FastAPI internal function `serialize_json` from `fastapi/_compat_v2.py.py`.
85,core_function,exceptions,py39+,source,312,fastapi/exceptions.py.py,Implement the FastAPI internal function `errors` from `fastapi/exceptions.py.py`.
86,tutorial,header,py310+,basic,312,docs_src/header/param_models_tutorial002_py310.py.py,Write a FastAPI route that reads and validates HTTP headers using standard parameter defaults and Python 3.10+ syntax. [ex002 · py310] (variant 1)
87,core_function,security_utils,py39+,source,312,fastapi/security_utils.py.py,Implement the FastAPI security utility `get_authorization_scheme_param`.
88,core_function,_compat_v2,py39+,source,312,fastapi/_compat_v2.py.py,Implement the FastAPI internal function `serialize_sequence_value` from `fastapi/_compat_v2.py.py`.
89,tutorial,body,py310+,basic,312,docs_src/body/updates_tutorial001_py310.py.py,Implement a Pydantic request body model and FastAPI POST route with standard parameter defaults and Python 3.10+ syntax. [ex001 · py310] (variant 2)
90,tutorial,query,py310+,basic,312,docs_src/query/params_str_validations_tutorial005_py310.py.py,Create a FastAPI endpoint with optional and required query params using standard parameter defaults and Python 3.10+ syntax. [ex005 · py310]
91,tutorial,pydantic,py310+,annotated,312,docs_src/pydantic/v1_in_v2_tutorial004_an_py310.py.py,Use Pydantic v2 models with a FastAPI endpoint using the `Annotated` type hint style and Python 3.10+ syntax. [ex004 · annotated · py310]
92,tutorial,query,py310+,basic,312,docs_src/query/params_str_validations_tutorial010_py310.py.py,Create a FastAPI endpoint with optional and required query params using standard parameter defaults and Python 3.10+ syntax. [ex010 · py310]
93,core_function,_compat_v2,py39+,source,312,fastapi/_compat_v2.py.py,Implement the FastAPI internal function `bytes_schema` from `fastapi/_compat_v2.py.py`.
94,tutorial,custom,py310+,basic,312,docs_src/custom/response_tutorial006c_py310.py.py,Create a FastAPI application with custom response classes or serialisation using standard parameter defaults and Python 3.10+ syntax. [ex006 · py310] (variant 1)
95,tutorial,security,py310+,basic,312,docs_src/security/tutorial005_py310.py.py,Write a FastAPI endpoint that implements standard parameter defaults and Python 3.10+ syntax security authentication.
96,core_function,dependencies_utils,py39+,source,312,fastapi/dependencies_utils.py.py,Implement the FastAPI dependency injection utility `get_parameterless_sub_dependant`.
97,tutorial,query,py310+,basic,312,docs_src/query/param_models_tutorial001_py310.py.py,Write a FastAPI route that accepts query parameters using standard parameter defaults and Python 3.10+ syntax. [ex001 · py310]
98,core_function,encoders,py39+,source,312,fastapi/encoders.py.py,Implement the FastAPI JSON encoder utility `jsonable_encoder`.
99,tutorial,dependencies,py310+,basic,312,docs_src/dependencies/tutorial010_py310.py.py,Write a FastAPI application that uses dependency injection with standard parameter defaults and Python 3.10+ syntax. [ex010 · py310]
100,tutorial,first,py310+,basic,312,docs_src/first/steps_tutorial003_py310.py.py,Write a FastAPI implementation that demonstrates first using standard parameter defaults and Python 3.10+ syntax.
101,tutorial,path,py310+,basic,312,docs_src/path/params_numeric_validations_tutorial006_py310.py.py,Implement path parameter type validation in a FastAPI endpoint using standard parameter defaults and Python 3.10+ syntax. [ex006 · py310] (variant 1)
102,core_function,routing,py39+,source,312,fastapi/routing.py.py,Implement the FastAPI routing utility `__init__`. [path]
103,tutorial,query,py310+,annotated,312,docs_src/query/params_str_validations_tutorial004_an_py310.py.py,Implement query parameter validation in a FastAPI endpoint with the `Annotated` type hint style and Python 3.10+ syntax. [ex004 · annotated · py310]
104,tutorial,response,py310+,basic,312,docs_src/response/model_tutorial005_py310.py.py,Implement response model validation and serialisation in FastAPI with standard parameter defaults and Python 3.10+ syntax. [ex005 · py310]
105,tutorial,stream,py310+,basic,312,docs_src/stream/data_tutorial002_py310.py.py,Implement server-sent events or streaming responses in FastAPI with standard parameter defaults and Python 3.10+ syntax. [ex002 · py310]
106,core_function,sse,py39+,source,312,fastapi/sse.py.py,Implement the FastAPI internal function `_check_data_exclusive` from `fastapi/sse.py.py`.
107,tutorial,separate,py310+,basic,312,docs_src/separate/openapi_schemas_tutorial001_py310.py.py,Define separate OpenAPI schemas for request and response in FastAPI using standard parameter defaults and Python 3.10+ syntax.
108,core_function,middleware_asyncexitstack,py39+,source,312,fastapi/middleware_asyncexitstack.py.py,Implement the FastAPI middleware component `__call__`.
109,core_function,param_functions,py39+,source,312,fastapi/param_functions.py.py,Implement the FastAPI `Security` parameter declaration function.
110,tutorial,server,py310+,basic,312,docs_src/server/sent_events_tutorial002_py310.py.py,Write a FastAPI implementation that demonstrates server using standard parameter defaults and Python 3.10+ syntax. [ex002 · py310]
111,tutorial,path,py310+,basic,312,docs_src/path/params_numeric_validations_tutorial004_py310.py.py,Write a FastAPI route that uses path parameters with standard parameter defaults and Python 3.10+ syntax. [ex004 · py310]
112,tutorial,request,py310+,annotated,312,docs_src/request/files_tutorial002_an_py310.py.py,Write a FastAPI route that reads the raw HTTP request using the `Annotated` type hint style and Python 3.10+ syntax. [ex002 · annotated · py310]
113,core_function,dependencies_utils,py39+,source,312,fastapi/dependencies_utils.py.py,Implement the FastAPI dependency injection utility `get_typed_signature`.
114,core_function,security_oauth2,py39+,source,312,fastapi/security_oauth2.py.py,Implement the FastAPI security utility `__init__`. [grant_type]
115,core_function,_compat_v2,py39+,source,312,fastapi/_compat_v2.py.py,Implement the FastAPI internal function `asdict` from `fastapi/_compat_v2.py.py`.
116,core_function,dependencies_utils,py39+,source,312,fastapi/dependencies_utils.py.py,Implement the FastAPI dependency injection utility `get_validation_alias`.
117,core_function,security_api_key,py39+,source,312,fastapi/security_api_key.py.py,Implement the FastAPI security utility `make_not_authenticated_error`. (variant 2)
118,tutorial,query,py310+,basic,312,docs_src/query/params_str_validations_tutorial002_py310.py.py,Write a FastAPI route that accepts query parameters using standard parameter defaults and Python 3.10+ syntax. [ex002 · py310]
119,tutorial,security,py310+,annotated,312,docs_src/security/tutorial003_an_py310.py.py,Create a FastAPI route protected by HTTP security using the `Annotated` type hint style and Python 3.10+ syntax. [ex003 · annotated · py310]
120,tutorial,websockets,py310+,annotated,312,docs_src/websockets/_tutorial002_an_py310.py.py,Implement real-time communication via WebSockets in FastAPI with the `Annotated` type hint style and Python 3.10+ syntax.
121,tutorial,response,py310+,basic,312,docs_src/response/model_tutorial003_02_py310.py.py,Write a FastAPI endpoint that returns a typed response model using standard parameter defaults and Python 3.10+ syntax. [ex003 · py310] (variant 2)
122,tutorial,dependency,py310+,basic,312,docs_src/dependency/testing_tutorial001_py310.py.py,Write a FastAPI test that overrides dependencies using standard parameter defaults and Python 3.10+ syntax.
123,tutorial,custom,py310+,basic,312,docs_src/custom/response_tutorial001b_py310.py.py,Create a FastAPI application with custom response classes or serialisation using standard parameter defaults and Python 3.10+ syntax. [ex001 · py310]
124,tutorial,security,py310+,annotated,312,docs_src/security/tutorial004_an_py310.py.py,Create a FastAPI route protected by HTTP security using the `Annotated` type hint style and Python 3.10+ syntax. [ex004 · annotated · py310]
125,tutorial,behind,py310+,basic,312,docs_src/behind/a_proxy_tutorial001_py310.py.py,Implement a FastAPI example for behind using standard parameter defaults and Python 3.10+ syntax.
126,core_function,exceptions,py39+,source,312,fastapi/exceptions.py.py,Implement the FastAPI internal function `__init__` from `fastapi/exceptions.py.py`. [errors] (variant 1)
127,tutorial,app,py310+,basic,312,docs_src/app/testing_tutorial001_py310.py.py,Create a larger FastAPI application structure with multiple routers using standard parameter defaults and Python 3.10+ syntax. [ex001 · py310]
128,core_function,security_http,py39+,source,312,fastapi/security_http.py.py,Implement the FastAPI security utility `__init__`. [bearerFormat]
129,core_function,dependencies_models,py39+,source,312,fastapi/dependencies_models.py.py,Implement the FastAPI dependency injection utility `is_gen_callable`.
130,core_function,_compat_shared,py39+,source,312,fastapi/_compat_shared.py.py,Implement the FastAPI internal function `annotation_is_pydantic_v1` from `fastapi/_compat_shared.py.py`.
131,tutorial,configure,py310+,basic,312,docs_src/configure/swagger_ui_tutorial003_py310.py.py,Write a FastAPI implementation that demonstrates configure using standard parameter defaults and Python 3.10+ syntax.
132,core_function,applications,py39+,source,312,fastapi/applications.py.py,Implement the FastAPI application method `put`.
133,tutorial,extra,py310+,basic,312,docs_src/extra/models_tutorial001_py310.py.py,Add extra OpenAPI data models or schema customisation to FastAPI using standard parameter defaults and Python 3.10+ syntax. [ex001 · py310]
134,core_function,openapi_docs,py39+,source,312,fastapi/openapi_docs.py.py,Implement the FastAPI internal function `get_redoc_html` from `fastapi/openapi_docs.py.py`.
135,core_function,dependencies_utils,py39+,source,312,fastapi/dependencies_utils.py.py,Implement the FastAPI dependency injection utility `get_typed_annotation`.
136,core_function,exception_handlers,py39+,source,312,fastapi/exception_handlers.py.py,Implement the FastAPI exception handler `websocket_request_validation_exception_handler`.
137,tutorial,body,py310+,basic,312,docs_src/body/multiple_params_tutorial003_py310.py.py,Write a FastAPI endpoint that accepts a JSON request body using standard parameter defaults and Python 3.10+ syntax. [ex003 · py310]
138,core_function,routing,py39+,source,312,fastapi/routing.py.py,Implement the FastAPI routing utility `on_event`.
139,tutorial,query,py310+,annotated,312,docs_src/query/params_str_validations_tutorial014_an_py310.py.py,Create a FastAPI endpoint with optional and required query params using the `Annotated` type hint style and Python 3.10+ syntax. [ex014 · annotated · py310]
140,core_function,routing,py39+,source,312,fastapi/routing.py.py,Implement the FastAPI routing utility `_build_response_args`.
141,tutorial,header,py310+,annotated,312,docs_src/header/params_tutorial001_an_py310.py.py,Implement custom header parameters in a FastAPI endpoint with the `Annotated` type hint style and Python 3.10+ syntax. [ex001 · annotated · py310]
142,core_function,routing,py39+,source,312,fastapi/routing.py.py,Implement the FastAPI routing utility `api_route`.
143,tutorial,dependencies,py310+,annotated,312,docs_src/dependencies/tutorial013_an_py310.py.py,Write a FastAPI application that uses dependency injection with the `Annotated` type hint style and Python 3.10+ syntax. [ex013 · annotated · py310]
144,tutorial,python,py310+,basic,312,docs_src/python/types_tutorial013_py310.py.py,Write a FastAPI route using Python py310+ type hint features with standard parameter defaults and Python 3.10+ syntax. [ex013 · py310]
145,core_function,routing,py39+,source,312,fastapi/routing.py.py,Implement the FastAPI routing utility `__init__`.
146,tutorial,path,py310+,annotated,312,docs_src/path/params_numeric_validations_tutorial001_an_py310.py.py,Write a FastAPI route that uses path parameters with the `Annotated` type hint style and Python 3.10+ syntax. [ex001 · annotated · py310]
147,tutorial,sub,py310+,basic,312,docs_src/sub/applications_tutorial001_py310.py.py,Implement a FastAPI example for sub using standard parameter defaults and Python 3.10+ syntax.
148,core_function,param_functions,py39+,source,312,fastapi/param_functions.py.py,Implement the FastAPI `Cookie` parameter declaration function.
149,tutorial,handling,py310+,basic,312,docs_src/handling/errors_tutorial005_py310.py.py,Implement global error handling in a FastAPI app using standard parameter defaults and Python 3.10+ syntax. [ex005 · py310]
150,tutorial,dependencies,py310+,basic,312,docs_src/dependencies/tutorial002_py310.py.py,Show how to share dependencies across FastAPI routes using standard parameter defaults and Python 3.10+ syntax. [ex002 · py310]
151,tutorial,response,py310+,basic,312,docs_src/response/cookies_tutorial002_py310.py.py,Write a FastAPI endpoint that returns a typed response model using standard parameter defaults and Python 3.10+ syntax. [ex002 · py310] (variant 2)
152,tutorial,path,py310+,basic,312,docs_src/path/operation_advanced_configuration_tutorial002_py310.py.py,Write a FastAPI route that uses path parameters with standard parameter defaults and Python 3.10+ syntax. [ex002 · py310] (variant 2)
153,tutorial,path,py310+,annotated,312,docs_src/path/params_numeric_validations_tutorial006_an_py310.py.py,Implement path parameter type validation in a FastAPI endpoint using the `Annotated` type hint style and Python 3.10+ syntax. [ex006 · annotated · py310]
154,core_function,applications,py39+,source,312,fastapi/applications.py.py,Implement the FastAPI application method `options`.
155,tutorial,handling,py310+,basic,312,docs_src/handling/errors_tutorial004_py310.py.py,Write a FastAPI application with custom HTTP exception handlers using standard parameter defaults and Python 3.10+ syntax. [ex004 · py310]
156,core_function,routing,py39+,source,312,fastapi/routing.py.py,Implement the FastAPI routing utility `__aenter__`. (variant 1)
157,tutorial,query,py310+,basic,312,docs_src/query/params_str_validations_tutorial009_py310.py.py,Write a FastAPI route that accepts query parameters using standard parameter defaults and Python 3.10+ syntax. [ex009 · py310]
158,core_function,_compat_v2,py39+,source,312,fastapi/_compat_v2.py.py,Implement the FastAPI internal function `is_scalar_field` from `fastapi/_compat_v2.py.py`.
159,tutorial,query,py310+,basic,312,docs_src/query/params_tutorial005_py310.py.py,Write a FastAPI route that accepts query parameters using standard parameter defaults and Python 3.10+ syntax. [ex005 · py310]
160,core_function,openapi_utils,py39+,source,312,fastapi/openapi_utils.py.py,Implement the FastAPI internal function `get_openapi_operation_metadata` from `fastapi/openapi_utils.py.py`.
161,core_function,applications,py39+,source,312,fastapi/applications.py.py,Implement the FastAPI application method `post`.
162,tutorial,events,py310+,basic,312,docs_src/events/tutorial003_py310.py.py,Write a FastAPI application with startup and shutdown lifecycle events using standard parameter defaults and Python 3.10+ syntax. [ex003 · py310]
163,tutorial,cookie,py310+,basic,312,docs_src/cookie/param_models_tutorial001_py310.py.py,Write a FastAPI endpoint that reads and sets cookies using standard parameter defaults and Python 3.10+ syntax. [ex001 · py310] (variant 1)
164,tutorial,request,py310+,basic,312,docs_src/request/forms_tutorial001_py310.py.py,Implement form data or file upload handling in FastAPI using standard parameter defaults and Python 3.10+ syntax. [ex001 · py310] (variant 2)
165,core_function,routing,py39+,source,312,fastapi/routing.py.py,Implement the FastAPI routing utility `_startup`.
166,tutorial,query,py310+,annotated,312,docs_src/query/params_str_validations_tutorial006_an_py310.py.py,Create a FastAPI endpoint with optional and required query params using the `Annotated` type hint style and Python 3.10+ syntax. [ex006 · annotated · py310] (variant 1)
