strategy,question,answer,ground_truth,answer_relevancy,faithfulness,context_precision,context_recall
baseline,,,"def __init__(
        self,
        default: Any = ...,
        *,
        default_factory: Callable[[], Any] | None = _Unset,
        annotation: Any | None = None,
        alias: str | None = None,
        alias_priority: int | None = _Unset,
        validation_alias: str | AliasPath | AliasChoices | None = None,
        serialization_alias: str | None = None,
        title: str | None = None,
        description: str | None = None,
        gt: float | None = None,
        ge: float | None = None,
        lt: float | None = None,
        le: float | None = None,
        min_length: int | None = None,
        max_length: int | None = None,
        pattern: str | None = None,
        regex: Annotated[
            str | None,
            deprecated(
                ""Deprecated in FastAPI 0.100.0 and Pydantic v2, use `pattern` instead.""
            ),
        ] = None,
        discriminator: str | None = None,
        strict: bool | None = _Unset,
        multiple_of: float | None = _Unset,
        allow_inf_nan: bool | None = _Unset,
        max_digits: int | None = _Unset,
        decimal_places: int | None = _Unset,
        examples: list[Any] | None = None,
        example: Annotated[
            Any | None,
            deprecated(
                ""Deprecated in OpenAPI 3.1.0 that now uses JSON Schema 2020-12, ""
                ""although still supported. Use examples instead.""
            ),
        ] = _Unset,
        openapi_examples: dict[str, Example] | None = None,
        deprecated: deprecated | str | bool | None = None,
        include_in_schema: bool = True,
        json_schema_extra: dict[str, Any] | None = None,
        **extra: Any,
    ):
        assert default is ..., ""Path parameters cannot have a default value""
        self.in_ = self.in_
        super().__init__(
            default=default,
            default_factory=default_factory,
            annotation=annotation,
            alias=alias,
            alias_priority=alias_priority,
            validation_alias=validation_alias,
            serialization_alias=serialization_alias,
            title=title,
            description=description,
            gt=gt,
            ge=ge,
            lt=lt,
            le=le,
            min_length=min_length,
            max_length=max_length,
            pattern=pattern,
            regex=regex,
            discriminator=discriminator,
            strict=strict,
            multiple_of=multiple_of,
            allow_inf_nan=allow_inf_nan,
            max_digits=max_digits,
            decimal_places=decimal_places,
            deprecated=deprecated,
            example=example,
            examples=examples,
            openapi_examples=openapi_examples,
            include_in_schema=include_in_schema,
            json_schema_extra=json_schema_extra,
            **extra,
        )",0.40,0.38,0.50,0.00
baseline,,,"def get_name_with_age(name: str, age: int):
    name_with_age = name + "" is this old: "" + age
    return name_with_age",0.60,0.38,0.20,1.00
baseline,,,"def get_dependant(
    *,
    path: str,
    call: Callable[..., Any],
    name: str | None = None,
    own_oauth_scopes: list[str] | None = None,
    parent_oauth_scopes: list[str] | None = None,
    use_cache: bool = True,
    scope: Literal[""function"", ""request""] | None = None,
) -> Dependant:
    dependant = Dependant(
        call=call,
        name=name,
        path=path,
        use_cache=use_cache,
        scope=scope,
        own_oauth_scopes=own_oauth_scopes,
        parent_oauth_scopes=parent_oauth_scopes,
    )
    current_scopes = (parent_oauth_scopes or []) + (own_oauth_scopes or [])
    path_param_names = get_path_param_names(path)
    endpoint_signature = get_typed_signature(call)
    signature_params = endpoint_signature.parameters
    for param_name, param in signature_params.items():
        is_path_param = param_name in path_param_names
        param_details = analyze_param(
            param_name=param_name,
            annotation=param.annotation,
            value=param.default,
            is_path_param=is_path_param,
        )
        if param_details.depends is not None:
            assert param_details.depends.dependency
            if (
                (dependant.is_gen_callable or dependant.is_async_gen_callable)
                and dependant.computed_scope == ""request""
                and param_details.depends.scope == ""function""
            ):
                assert dependant.call
                raise DependencyScopeError(
                    f'The dependency ""{dependant.call.__name__}"" has a scope of '
                    '""request"", it cannot depend on dependencies with scope ""function"".'
                )
            sub_own_oauth_scopes: list[str] = []
            if isinstance(param_details.depends, params.Security):
                if param_details.depends.scopes:
                    sub_own_oauth_scopes = list(param_details.depends.scopes)
            sub_dependant = get_dependant(
                path=path,
                call=param_details.depends.dependency,
                name=param_name,
                own_oauth_scopes=sub_own_oauth_scopes,
                parent_oauth_scopes=current_scopes,
                use_cache=param_details.depends.use_cache,
                scope=param_details.depends.scope,
            )
            dependant.dependencies.append(sub_dependant)
            continue
        if add_non_field_param_to_dependency(
            param_name=param_name,
            type_annotation=param_details.type_annotation,
            dependant=dependant,
        ):
            assert param_details.field is None, (
                f""Cannot specify multiple FastAPI annotations for {param_name!r}""
            )
            continue
        assert param_details.field is not None
        if isinstance(param_details.field.field_info, params.Body):
            dependant.body_params.append(param_details.field)
        else:
            add_param_to_fields(field=param_details.field, dependant=dependant)
    return dependant",0.70,0.12,1.00,0.50
baseline,,,"def __init__(
        self,
        grant_type: Annotated[
            str,
            Form(pattern=""^password$""),
            Doc(
                """"""
                The OAuth2 spec says it is required and MUST be the fixed string
                ""password"". This dependency is strict about it. If you want to be
                permissive, use instead the `OAuth2PasswordRequestForm` dependency
                class.

                Read more about it in the
                [FastAPI docs for Simple OAuth2 with Password and Bearer](https://fastapi.tiangolo.com/tutorial/security/simple-oauth2/).
                """"""
            ),
        ],
        username: Annotated[
            str,
            Form(),
            Doc(
                """"""
                `username` string. The OAuth2 spec requires the exact field name
                `username`.

                Read more about it in the
                [FastAPI docs for Simple OAuth2 with Password and Bearer](https://fastapi.tiangolo.com/tutorial/security/simple-oauth2/).
                """"""
            ),
        ],
        password: Annotated[
            str,
            Form(),
            Doc(
                """"""
                `password` string. The OAuth2 spec requires the exact field name
                `password`.

                Read more about it in the
                [FastAPI docs for Simple OAuth2 with Password and Bearer](https://fastapi.tiangolo.com/tutorial/security/simple-oauth2/).
                """"""
            ),
        ],
        scope: Annotated[
            str,
            Form(),
            Doc(
                """"""
                A single string with actually several scopes separated by spaces. Each
                scope is also a string.

                For example, a single string with:

                ```python
                ""items:read items:write users:read profile openid""
                ````

                would represent the scopes:

                * `items:read`
                * `items:write`
                * `users:read`
                * `profile`
                * `openid`

                Read more about it in the
                [FastAPI docs for Simple OAuth2 with Password and Bearer](https://fastapi.tiangolo.com/tutorial/security/simple-oauth2/).
                """"""
            ),
        ] = """",
        client_id: Annotated[
            str | None,
            Form(),
            Doc(
                """"""
                If there's a `client_id`, it can be sent as part of the form fields.
                But the OAuth2 specification recommends sending the `client_id` and
                `client_secret` (if any) using HTTP Basic auth.
                """"""
            ),
        ] = None,
        client_secret: Annotated[
            str | None,
            Form(),
            Doc(
                """"""
                If there's a `client_password` (and a `client_id`), they can be sent
                as part of the form fields. But the OAuth2 specification recommends
                sending the `client_id` and `client_secret` (if any) using HTTP Basic
                auth.
                """"""
            ),
        ] = None,
    ):
        super().__init__(
            grant_type=grant_type,
            username=username,
            password=password,
            scope=scope,
            client_id=client_id,
            client_secret=client_secret,
        )",0.50,0.88,0.81,0.20
baseline,,,"def verify_password(plain_password, hashed_password):
    return password_hash.verify(plain_password, hashed_password)


def get_password_hash(password):
    return password_hash.hash(password)


def get_user(db, username: str):
    if username in db:
        user_dict = db[username]
        return UserInDB(**user_dict)


def authenticate_user(fake_db, username: str, password: str):
    user = get_user(fake_db, username)
    if not user:
        verify_password(password, DUMMY_HASH)
        return False
    if not verify_password(password, user.hashed_password):
        return False
    return user


def create_access_token(data: dict, expires_delta: timedelta | None = None):
    to_encode = data.copy()
    if expires_delta:
        expire = datetime.now(timezone.utc) + expires_delta
    else:
        expire = datetime.now(timezone.utc) + timedelta(minutes=15)
    to_encode.update({""exp"": expire})
    encoded_jwt = jwt.encode(to_encode, SECRET_KEY, algorithm=ALGORITHM)
    return encoded_jwt


async def get_current_user(token: str = Depends(oauth2_scheme)):
    credentials_exception = HTTPException(
        status_code=status.HTTP_401_UNAUTHORIZED,
        detail=""Could not validate credentials"",
        headers={""WWW-Authenticate"": ""Bearer""},
    )
    try:
        payload = jwt.decode(token, SECRET_KEY, algorithms=[ALGORITHM])
        username = payload.get(""sub"")
        if username is None:
            raise credentials_exception
        token_data = TokenData(username=username)
    except InvalidTokenError:
        raise credentials_exception
    user = get_user(fake_users_db, username=token_data.username)
    if user is None:
        raise credentials_exception
    return user


async def get_current_active_user(current_user: User = Depends(get_current_user)):
    if current_user.disabled:
        raise HTTPException(status_code=400, detail=""Inactive user"")
    return current_user


async def login_for_access_token(
    form_data: OAuth2PasswordRequestForm = Depends(),
) -> Token:
    user = authenticate_user(fake_users_db, form_data.username, form_data.password)
    if not user:
        raise HTTPException(
            status_code=status.HTTP_401_UNAUTHORIZED,
            detail=""Incorrect username or password"",
            headers={""WWW-Authenticate"": ""Bearer""},
        )
    access_token_expires = timedelta(minutes=ACCESS_TOKEN_EXPIRE_MINUTES)
    access_token = create_access_token(
        data={""sub"": user.username}, expires_delta=access_token_expires
    )
    return Token(access_token=access_token, token_type=""bearer"")


async def read_users_me(current_user: User = Depends(get_current_active_user)) -> User:
    return current_user


async def read_own_items(current_user: User = Depends(get_current_active_user)):
    return [{""item_id"": ""Foo"", ""owner"": current_user.username}]",1.00,1.00,1.00,1.00
baseline,,,"def flask_main():
    name = request.args.get(""name"", ""World"")
    return f""Hello, {escape(name)} from Flask!""


def read_main():
    return {""message"": ""Hello World""}",1.00,0.88,1.00,1.00
baseline,,,"def _should_embed_body_fields(fields: list[ModelField]) -> bool:
    if not fields:
        return False
    # More than one dependency could have the same field, it would show up as multiple
    # fields but it's the same one, so count them by name
    body_param_names_set = {field.name for field in fields}
    # A top level field has to be a single field, not multiple
    if len(body_param_names_set) > 1:
        return True
    first_field = fields[0]
    # If it explicitly specifies it is embedded, it has to be embedded
    if getattr(first_field.field_info, ""embed"", None):
        return True
    # If it's a Form (or File) field, it has to be a BaseModel (or a union of BaseModels) to be top level
    # otherwise it has to be embedded, so that the key value pair can be extracted
    if (
        isinstance(first_field.field_info, params.Form)
        and not lenient_issubclass(first_field.field_info.annotation, BaseModel)
        and not is_union_of_base_models(first_field.field_info.annotation)
    ):
        return True
    return False",1.00,0.88,0.37,1.00
baseline,,,"async def read_item(item_id: str, q: str | None = None):
    if q:
        return {""item_id"": item_id, ""q"": q}
    return {""item_id"": item_id}",1.00,0.25,0.92,0.00
baseline,,,"async def read_users():
    return [{""username"": ""Rick""}, {""username"": ""Morty""}]


async def read_user_me():
    return {""username"": ""fakecurrentuser""}


async def read_user(username: str):
    return {""username"": username}",0.00,0.75,0.50,0.00
baseline,,,"def format_sse_event(
    *,
    data_str: Annotated[
        str | None,
        Doc(
            """"""
            Pre-serialized data string to use as the `data:` field.
            """"""
        ),
    ] = None,
    event: Annotated[
        str | None,
        Doc(
            """"""
            Optional event type name (`event:` field).
            """"""
        ),
    ] = None,
    id: Annotated[
        str | None,
        Doc(
            """"""
            Optional event ID (`id:` field).
            """"""
        ),
    ] = None,
    retry: Annotated[
        int | None,
        Doc(
            """"""
            Optional reconnection time in milliseconds (`retry:` field).
            """"""
        ),
    ] = None,
    comment: Annotated[
        str | None,
        Doc(
            """"""
            Optional comment line(s) (`:` prefix).
            """"""
        ),
    ] = None,
) -> bytes:
    """"""Build SSE wire-format bytes from **pre-serialized** data.

    The result always ends with `\n\n` (the event terminator).
    """"""
    lines: list[str] = []

    if comment is not None:
        for line in comment.splitlines():
            lines.append(f"": {line}"")

    if event is not None:
        lines.append(f""event: {event}"")

    if data_str is not None:
        for line in data_str.splitlines():
            lines.append(f""data: {line}"")

    if id is not None:
        lines.append(f""id: {id}"")

    if retry is not None:
        lines.append(f""retry: {retry}"")

    lines.append("""")
    lines.append("""")
    return ""\n"".join(lines).encode(""utf-8"")",0.40,1.00,1.00,1.00
baseline,,,"def generate_operation_id_for_path(
    *, name: str, path: str, method: str
) -> str:  # pragma: nocover
    warnings.warn(
        message=""fastapi.utils.generate_operation_id_for_path() was deprecated, ""
        ""it is not used internally, and will be removed soon"",
        category=FastAPIDeprecationWarning,
        stacklevel=2,
    )
    operation_id = f""{name}{path}""
    operation_id = re.sub(r""\W"", ""_"", operation_id)
    operation_id = f""{operation_id}_{method.lower()}""
    return operation_id",1.00,0.50,0.89,1.00
baseline,,,"async def create_item(item: Item) -> Item:
    return item",0.20,0.88,1.00,1.00
baseline,,,"async def read_item(item_id):
    return {""item_id"": item_id}",1.00,0.75,0.64,0.70
baseline,,,"async def read_items(
    q: str, item_id: Annotated[int, Path(title=""The ID of the item to get"")]
):
    results = {""item_id"": item_id}
    if q:
        results.update({""q"": q})
    return results",1.00,1.00,1.00,1.00
baseline,,,"async def create_offer(offer: Offer):
    return offer",1.00,1.00,1.00,1.00
baseline,,,"def get_flat_models_from_fields(
    fields: Sequence[ModelField], known_models: TypeModelSet
) -> TypeModelSet:
    for field in fields:
        get_flat_models_from_field(field, known_models=known_models)
    return known_models",1.00,1.00,0.75,1.00
baseline,,,"def add_param_to_fields(*, field: ModelField, dependant: Dependant) -> None:
    field_info = field.field_info
    field_info_in = getattr(field_info, ""in_"", None)
    if field_info_in == params.ParamTypes.path:
        dependant.path_params.append(field)
    elif field_info_in == params.ParamTypes.query:
        dependant.query_params.append(field)
    elif field_info_in == params.ParamTypes.header:
        dependant.header_params.append(field)
    else:
        assert field_info_in == params.ParamTypes.cookie, (
            f""non-body parameters must be in path, query, header or cookie: {field.name}""
        )
        dependant.cookie_params.append(field)",1.00,0.25,0.00,0.20
baseline,,,"def analyze_param(
    *,
    param_name: str,
    annotation: Any,
    value: Any,
    is_path_param: bool,
) -> ParamDetails:
    field_info = None
    depends = None
    type_annotation: Any = Any
    use_annotation: Any = Any
    if is_typealiastype(annotation):
        # unpack in case PEP 695 type syntax is used
        annotation = annotation.__value__
    if annotation is not inspect.Signature.empty:
        use_annotation = annotation
        type_annotation = annotation
    # Extract Annotated info
    if get_origin(use_annotation) is Annotated:
        annotated_args = get_args(annotation)
        type_annotation = annotated_args[0]
        fastapi_annotations = [
            arg
            for arg in annotated_args[1:]
            if isinstance(arg, (FieldInfo, params.Depends))
        ]
        fastapi_specific_annotations = [
            arg
            for arg in fastapi_annotations
            if isinstance(
                arg,
                (
                    params.Param,
                    params.Body,
                    params.Depends,
                ),
            )
        ]
        if fastapi_specific_annotations:
            fastapi_annotation: FieldInfo | params.Depends | None = (
                fastapi_specific_annotations[-1]
            )
        else:
            fastapi_annotation = None
        # Set default for Annotated FieldInfo
        if isinstance(fastapi_annotation, FieldInfo):
            # Copy `field_info` because we mutate `field_info.default` below.
            field_info = copy_field_info(
                field_info=fastapi_annotation,
                annotation=use_annotation,
            )
            assert (
                field_info.default == Undefined or field_info.default == RequiredParam
            ), (
                f""`{field_info.__class__.__name__}` default value cannot be set in""
                f"" `Annotated` for {param_name!r}. Set the default value with `=` instead.""
            )
            if value is not inspect.Signature.empty:
                assert not is_path_param, ""Path parameters cannot have default values""
                field_info.default = value
            else:
                field_info.default = RequiredParam
        # Get Annotated Depends
        elif isinstance(fastapi_annotation, params.Depends):
            depends = fastapi_annotation
    # Get Depends from default value
    if isinstance(value, params.Depends):
        assert depends is None, (
            ""Cannot specify `Depends` in `Annotated` and default value""
            f"" together for {param_name!r}""
        )
        assert field_info is None, (
            ""Cannot specify a FastAPI annotation in `Annotated` and `Depends` as a""
            f"" default value together for {param_name!r}""
        )
        depends = value
    # Get FieldInfo from default value
    elif isinstance(value, FieldInfo):
        assert field_info is None, (
            ""Cannot specify FastAPI annotations in `Annotated` and default value""
            f"" together for {param_name!r}""
        )
        field_info = value
        if isinstance(field_info, FieldInfo):
            field_info.annotation = type_annotation

    # Get Depends from type annotation
    if depends is not None and depends.dependency is None:
        # Copy `depends` before mutating it
        depends = copy(depends)
        depends = dataclasses.replace(depends, dependency=type_annotation)

    # Handle non-param type annotations like Request
    # Only apply special handling when there's no explicit Depends - if there's a Depends,
    # the dependency will be called and its return value used instead of the special injection
    if depends is None and lenient_issubclass(
        type_annotation,
        (
            Request,
            WebSocket,
            HTTPConnection,
            Response,
            StarletteBackgroundTasks,
            SecurityScopes,
        ),
    ):
        assert field_info is None, (
            f""Cannot specify FastAPI annotation for type {type_annotation!r}""
        )
    # Handle default assignations, neither field_info nor depends was not found in Annotated nor default value
    elif field_info is None and depends is None:
        default_value = value if value is not inspect.Signature.empty else RequiredParam
        if is_path_param:
            # We might check here that `default_value is RequiredParam`, but the fact is that the same
            # parameter might sometimes be a path parameter and sometimes not. See
            # `tests/test_infer_param_optionality.py` for an example.
            field_info = params.Path(annotation=use_annotation)
        elif is_uploadfile_or_nonable_uploadfile_annotation(
            type_annotation
        ) or is_uploadfile_sequence_annotation(type_annotation):
            field_info = params.File(annotation=use_annotation, default=default_value)
        elif not field_annotation_is_scalar(annotation=type_annotation):
            field_info = params.Body(annotation=use_annotation, default=default_value)
        else:
            field_info = params.Query(annotation=use_annotation, default=default_value)

    field = None
    # It's a field_info, not a dependency
    if field_info is not None:
        # Handle field_info.in_
        if is_path_param:
            assert isinstance(field_info, params.Path), (
                f""Cannot use `{field_info.__class__.__name__}` for path param""
                f"" {param_name!r}""
            )
        elif (
            isinstance(field_info, params.Param)
            and getattr(field_info, ""in_"", None) is None
        ):
            field_info.in_ = params.ParamTypes.query
        use_annotation_from_field_info = use_annotation
        if isinstance(field_info, params.Form):
            ensure_multipart_is_installed()
        if not field_info.alias and getattr(field_info, ""convert_underscores"", None):
            alias = param_name.replace(""_"", ""-"")
        else:
            alias = field_info.alias or param_name
        field_info.alias = alias
        field = create_model_field(
            name=param_name,
            type_=use_annotation_from_field_info,
            default=field_info.default,
            alias=alias,
            field_info=field_info,
        )
        if is_path_param:
            assert is_scalar_field(field=field), (
                ""Path params must be of one of the supported types""
            )
        elif isinstance(field_info, params.Query):
            assert (
                is_scalar_field(field)
                or field_annotation_is_scalar_sequence(field.field_info.annotation)
                or lenient_issubclass(field.field_info.annotation, BaseModel)
            ), f""Query parameter {param_name!r} must be one of the supported types""

    return ParamDetails(type_annotation=type_annotation, depends=depends, field=field)",1.00,0.88,1.00,0.00
baseline,,,"async def read_items(q: Annotated[list[str] | None, Query()] = None):
    query_items = {""q"": q}
    return query_items",1.00,0.12,0.20,0.20
