task_id,n_samples,n_passed,passed,completion,error
HumanEval/38,1,0,False,"def decode_cyclic(s: str):
    # split string to groups. Each of length 3.
    groups = [s[(3 * i):min((3 * i + 3), len(s))] for i in range((len(s) + 2) // 3)]
    # reverse cycle elements in each group. Unless group has fewer elements than 3.
    groups = [(group[-1] + group[:-1]) if len(group) == 3 else group for group in groups]
    return """".join(groups)","Traceback (most recent call last):
  File ""C:\Users\Imgigi\AppData\Local\Temp\tmp87o7_ufg.py"", line 24, in <module>
    check(decode_cyclic)
    ~~~~~^^^^^^^^^^^^^^^
  File ""C:\Users\Imgigi\AppData\Lo"
HumanEval/39,1,0,False,"def prime_fib(n: int):
    import math

    def is_prime(num: int) -> bool:
        if num < 2:
            return False
        if num == 2:
            return True
        if num % 2 == 0:
            return False
        for i in range(3, int(math.","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpkcu0e27s.py"", line 11
    for i in range(3, int(math.
                         ^
SyntaxError: '(' was never closed
"
HumanEval/40,1,0,False,"def triples_sum_to_zero(l: list):
    n = len(l)
    if n < 3:
        return False

    for i in range(n - 2):
        for j in range(i + 1, n - 1):
            for k in range(j + 1, n):
                if l[i","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpv4t2pvij.py"", line 9
    if l[i
        ^
SyntaxError: '[' was never closed
"
HumanEval/41,1,1,True,"def car_race_collision(n: int):
    return n * n",
HumanEval/42,1,1,True,"def incr_list(l: list):
    return [x + 1 for x in l]",
HumanEval/43,1,1,True,"def pairs_sum_to_zero(l):
    seen = set()
    for x in l:
        if -x in seen:
            return True
        seen.add(x)
    return False",
HumanEval/44,1,1,True,"def change_base(x: int, base: int):
    if x == 0:
        return ""0""

    result = """"
    while x > 0:
        remainder = x % base
        result = str(remainder) + result
        x //= base
    return result",
HumanEval/45,1,1,True,"def triangle_area(a, h):
    return (a * h) / 2",
HumanEval/46,1,0,False,"def fib4(n: int):
    if n == 0:
        return 0
    if n == 1:
        return 0
    if n == 2:
        return 2
    if n == 3:
        return 0

    # Initialize the last four values: fib4(0), fib4(1), fib4(","Traceback (most recent call last):
  File ""C:\Users\Imgigi\AppData\Local\Temp\tmp2d4bcxtn.py"", line 25, in <module>
    check(fib4)
    ~~~~~^^^^^^
  File ""C:\Users\Imgigi\AppData\Local\Temp\tmp2d4bcx"
HumanEval/47,1,0,False,"def median(l: list):
    n = len(l)
    if n == 0:
        raise ValueError(""Median is not defined for an empty list."")

    l_sorted = sorted(l)

    if n % 2 == 1:
        # Odd number of elements
        return l_sorted[n // 2]
    else:","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmp0voxyene.py"", line 15
    METADATA = {}
IndentationError: expected an indented block after 'else' statement on line 11
"
HumanEval/48,1,1,True,"def is_palindrome(text: str):
    return text == text[::-1]",
HumanEval/49,1,1,True,"def modp(n: int, p: int):
    return pow(2, n, p)",
HumanEval/50,1,0,False,"def decode_shift(s: str):
    return """".join([chr(((ord(ch) - 5 - ord(""a"")) % 26) + ord(""a"")) for ch in s])","Traceback (most recent call last):
  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpxfupi4us.py"", line 21, in <module>
    check(decode_shift)
    ~~~~~^^^^^^^^^^^^^^
  File ""C:\Users\Imgigi\AppData\Loca"
HumanEval/51,1,1,True,"def remove_vowels(text):
    vowels = {'a', 'e', 'i', 'o', 'u', 'A', 'E', 'I', 'O', 'U'}
    return """".join([char for char in text if char not in vowels])",
HumanEval/52,1,1,True,"def below_threshold(l: list, t: int):
    return all(x < t for x in l)",
HumanEval/53,1,1,True,"def add(x: int, y: int):
    return x + y",
HumanEval/54,1,1,True,"def same_chars(s0: str, s1: str):
    return set(s0) == set(s1)",
HumanEval/55,1,1,True,"def fib(n: int):
    if n == 1:
        return 1
    elif n == 2:
        return 1
    
    a, b = 1, 1
    for _ in range(3, n + 1):
        next_fib = a + b
        a = b
        b = next_fib
    return b",
HumanEval/56,1,1,True,"def correct_bracketing(brackets: str):
    count = 0
    for char in brackets:
        if char == '<':
            count += 1
        elif char == '>':
            count -= 1
        
        if count < 0:
            return False
            
    return count == 0",
HumanEval/57,1,0,False,"def monotonic(l: list):
    if len(l) <= 1:
        return True

    is_increasing = True
    is_decreasing = True

    for i in range(len(l) - 1):
        if l[i] > l[i+1]:
            is_increasing = False
        if l[i]","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmp96bhceu0.py"", line 11
    if l[i]
           ^
SyntaxError: expected ':'
"
HumanEval/58,1,1,True,"def common(l1: list, l2: list):
    set1 = set(l1)
    set2 = set(l2)
    common_elements = list(set1.intersection(set2))
    common_elements.sort()
    return common_elements",
HumanEval/59,1,0,False,"def largest_prime_factor(n: int):
    largest_factor = 1

    # Handle factor 2
    while n % 2 == 0:
        largest_factor = 2
        n //= 2

    # Handle odd factors
    # We only need to check up to sqrt(n)
    # Since n is reduced","Traceback (most recent call last):
  File ""C:\Users\Imgigi\AppData\Local\Temp\tmp055fqtr7.py"", line 26, in <module>
    check(largest_prime_factor)
    ~~~~~^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Img"
HumanEval/60,1,1,True,"def sum_to_n(n: int):
    return n * (n + 1) // 2",
HumanEval/61,1,1,True,"def correct_bracketing(brackets: str):
    balance = 0
    for char in brackets:
        if char == '(':
            balance += 1
        elif char == ')':
            balance -= 1
        
        if balance < 0:
            return False
            
    return balance == 0",
HumanEval/62,1,1,True,"def derivative(xs: list):
    result = []
    for i in range(1, len(xs)):
        result.append(xs[i] * i)
    return result",
HumanEval/63,1,1,True,"def fibfib(n: int):
    if n == 0:
        return 0
    if n == 1:
        return 0
    if n == 2:
        return 1

    a = 0  # Represents fibfib(i-3)
    b = 0  # Represents fibfib(i-2)
    c = 1  # Represents fibfib(i-1)

    for _ in range(3, n + 1):
        next_fib = c + b + a
        a = b
        b = c
        c = next_fib
    
    return c",
HumanEval/64,1,1,True,"def vowels_count(s):
    count = 0
    vowels = {'a', 'e', 'i', 'o', 'u'}
    s_lower = s.lower()
    n = len(s_lower)
    for i, char in enumerate(s_lower):
        if char in vowels:
            count += 1
        elif char == 'y' and i == n - 1:
            count += 1
    return count",
HumanEval/65,1,0,False,"def circular_shift(x, shift):
    s = str(x)
    n = len(s)

    if shift > n:
        return s[::-1]
    else:
        # Perform circular right shift
        # The last 'shift' characters move to the beginning
        # The first 'n - shift' characters move to the end
        k =","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpm4b5emce.py"", line 11
    k =
       ^
SyntaxError: invalid syntax
"
HumanEval/66,1,1,True,"def digitSum(s):
    return sum(ord(char) for char in s if char.isupper())",
HumanEval/67,1,1,True,"def fruit_distribution(s,n):
    parts = s.split("" apples and "")
    num_apples = int(parts[0])
    
    oranges_part = parts[1]
    num_oranges = int(oranges_part.split("" oranges"")[0])
    
    return n - num_apples - num_oranges",
HumanEval/68,1,1,True,"def pluck(arr):
    min_even_value = float('inf')
    min_even_index = -1

    for i, num in enumerate(arr):
        if num % 2 == 0:
            if num < min_even_value:
                min_even_value = num
                min_even_index = i
            # If num == min_even_value, we do not update min_even_index
            # because we are looking for the smallest index among equal smallest values,
            # and iterating from left to right naturally ensures the first occurrence's
        ",
HumanEval/69,1,0,False,"def search(lst):
    from collections import Counter
    counts = Counter(lst)
    
    max_candidate = -1
    
    for num in counts:
        # The problem states ""non-empty list of positive integers"",
        # so num will always be > 0.
        frequency = counts[num]
        
        if frequency >=","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpv8a7k6o4.py"", line 12
    if frequency >=
                   ^
SyntaxError: invalid syntax
"
HumanEval/70,1,0,False,"def strange_sort_list(lst):
    if not lst:
        return []

    sorted_lst = sorted(lst)
    result = []
    
    is_min_turn = True
    
    while sorted_lst:
        if is_min_turn:
            result.append(sorted_lst.pop(0))
        else:","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpk4ijk9c9.py"", line 15
    def check(candidate):
IndentationError: expected an indented block after 'else' statement on line 13
"
HumanEval/71,1,0,False,"import math

def triangle_area(a, b, c):
    if a <= 0 or b <= 0 or c <= 0:
        return -1
    
    if not (a + b > c and a + c > b and b + c > a):
        return -1
    
    s = (a + b + c)","Traceback (most recent call last):
  File ""C:\Users\Imgigi\AppData\Local\Temp\tmp4c_d0jju.py"", line 28, in <module>
    check(triangle_area)
    ~~~~~^^^^^^^^^^^^^^^
  File ""C:\Users\Imgigi\AppData\Lo"
HumanEval/72,1,1,True,"def will_it_fly(q,w):
    return q == q[::-1] and sum(q) <= w",
HumanEval/73,1,1,True,"def smallest_change(arr):
    n = len(arr)
    changes = 0
    for i in range(n // 2):
        if arr[i] != arr[n - 1 - i]:
            changes += 1
    return changes",
HumanEval/74,1,1,True,"def total_match(lst1, lst2):
    sum_chars_lst1 = sum(len(s) for s in lst1)
    sum_chars_lst2 = sum(len(s) for s in lst2)

    if sum_chars_lst1 <= sum_chars_lst2:
        return lst1
    else:
        return lst2",
HumanEval/75,1,0,False,"def is_multiply_prime(a):
    if a < 1:
        return False

    prime_factors_count = 0
    temp_a = a
    i = 2

    while i * i <= temp_a:
        if temp_a % i == 0:
            # i is a prime factor (because we are checking factors in","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpyuy5tga8.py"", line 13
    def check(candidate):
IndentationError: expected an indented block after 'if' statement on line 10
"
HumanEval/76,1,0,False,"def is_simple_power(x, n):
    if x == 1:
        # Any number n (including 0) raised to the power of 0 is 1.
        # So, 1 is always a simple power of n.
        return True

    if n == 1:
        # If n is 1, then 1 raised to","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmplnw_ls2l.py"", line 10
    def check(candidate):
IndentationError: expected an indented block after 'if' statement on line 7
"
HumanEval/77,1,1,True,"def iscube(a):
    root = round(abs(a)**(1/3))
    if a < 0:
        root = -root
    return root * root * root == a",
HumanEval/78,1,1,True,"def hex_key(num):
    prime_hex_digits = {'2', '3', '5', '7', 'B', 'D'}
    count = 0
    for digit in num:
        if digit in prime_hex_digits:
            count += 1
    return count",
HumanEval/79,1,1,True,"def decimal_to_binary(decimal):
    binary_representation = bin(decimal)[2:]
    return ""db"" + binary_representation + ""db""",
HumanEval/80,1,1,True,"def is_happy(s):
    if len(s) < 3:
        return False

    for i in range(len(s) - 2):
        if len(set([s[i], s[i+1], s[i+2]])) < 3:
            return False

    return True",
HumanEval/81,1,1,True,"def numerical_letter_grade(grades):
    letter_grades = []
    for gpa in grades:
        if gpa == 4.0:
            letter_grades.append('A+')
        elif gpa > 3.7:
            letter_grades.append('A')
        elif gpa > 3.3:
            letter_grades.append('A-')
        elif gpa > 3.0:
            letter_grades.append('B+')
        elif gpa > 2.7:
            letter_grades.append('B')
        elif gpa > 2.3:
            letter_grades.append('B-')
        elif gpa > 2.0:
            letter_",
HumanEval/82,1,1,True,"def prime_length(string):
    length = len(string)
    if length <= 1:
        return False
    if length == 2:
        return True
    if length % 2 == 0:
        return False
    i = 3
    while i * i <= length:
        if length % i == 0:
            return False
        i += 2
    return True",
HumanEval/83,1,0,False,"def starts_one_ends(n):
    if n == 1:
        return 1
    else:
        # Count of n-digit numbers that start with 1: 1 followed by (n-1) digits (0-9)
        # This is 10^(n-1)
        starts_with_1 = 10**(","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpl9svab9g.py"", line 7
    starts_with_1 = 10**(
                        ^
SyntaxError: '(' was never closed
"
HumanEval/84,1,1,True,"def solve(N):
    sum_of_digits = sum(int(digit) for digit in str(N))
    return bin(sum_of_digits)[2:]",
HumanEval/85,1,1,True,"def add(lst):
    total = 0
    for i, num in enumerate(lst):
        if i % 2 != 0 and num % 2 == 0:
            total += num
    return total",
HumanEval/86,1,0,False,"def anti_shuffle(s):
    import re
    
    # Split the string by one or more spaces, keeping the spaces as delimiters.
    # This creates a list where elements at even indices are non-space segments (words or empty strings)
    # and elements at odd indices are the space delimiters themselves.
    parts = re.split(r'(\s+)',","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmp0cuf39ce.py"", line 7
    parts = re.split(r'(\s+)',
                    ^
SyntaxError: '(' was never closed
"
HumanEval/87,1,1,True,"def get_row(lst, x):
    coordinates = []
    for r_idx, row in enumerate(lst):
        for c_idx, val in enumerate(row):
            if val == x:
                coordinates.append((r_idx, c_idx))

    # Sort coordinates:
    # Primary sort by row in ascending order (coord[0])
    # Secondary sort by column in descending order (-coord[1])
    coordinates.sort(key=lambda coord: (coord[0], -coord[1]))

    return coordinates",
HumanEval/88,1,1,True,"def sort_array(array):
    if len(array) < 2:
        return list(array)

    first_val = array[0]
    last_val = array[-1]
    
    s = first_val + last_val
    
    if s % 2 != 0: # Odd sum, sort ascending
        return sorted(array)
    else: # Even sum, sort descending
        return sorted(array, reverse=True)",
HumanEval/89,1,1,True,"def encrypt(s):
    result = []
    shift = 4  # The alphabet should be rotated by 2 * 2 = 4 places

    for char in s:
        if 'a' <= char <= 'z':
            # Handle lowercase letters
            start_ascii = ord('a')
            # Calculate the new position, apply shift, and wrap around using modulo 26
            shifted_ascii = start_ascii + (ord(char) - start_ascii + shift) % 26
            result.append(chr(shifted_ascii))
        elif 'A' <= char <= 'Z':
            # Handle upperca",
HumanEval/90,1,1,True,"def next_smallest(lst):
    unique_elements = sorted(list(set(lst)))
    if len(unique_elements) >= 2:
        return unique_elements[1]
    else:
        return None",
HumanEval/91,1,0,False,"import re

def is_bored(S):
    boredom_count = 0
    # Split the string by sentence delimiters: '.', '?', '!'
    # re.split will return a list of strings, where the delimiters are removed.
    # It might also return empty strings if there are multiple delimiters in a row
    # or if the string","Traceback (most recent call last):
  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpowcqjl1d.py"", line 24, in <module>
    check(is_bored)
    ~~~~~^^^^^^^^^^
  File ""C:\Users\Imgigi\AppData\Local\Temp\t"
HumanEval/92,1,1,True,"def any_int(x, y, z):
    return (isinstance(x, int) and isinstance(y, int) and isinstance(z, int)) and \
           ((x == y + z) or (y == x + z) or (z == x + y))",
HumanEval/93,1,0,False,"def encode(message):
    vowels = ""aeiouAEIOU""
    
    encoded_chars = []
    
    # Step 1: Swap the case of all letters in the message
    swapped_case_message = message.swapcase()
    
    # Step 2: Iterate through the case-swapped message and replace vowels","Traceback (most recent call last):
  File ""C:\Users\Imgigi\AppData\Local\Temp\tmp4witu4qt.py"", line 23, in <module>
    check(encode)
    ~~~~~^^^^^^^^
  File ""C:\Users\Imgigi\AppData\Local\Temp\tmp4w"
HumanEval/94,1,0,False,"def skjkasdkd(lst):
    largest_prime = -1

    def is_prime(n):
        if n <= 1:
            return False
        if n <= 3:
            return True
        if n % 2 == 0 or n % 3 == 0:
            return False
        i = 5
        while i * i <= n:
            if n % i == 0 or n % (i + 2) == 0:
                return False
            i += 6
        return True

    for num in lst:
        if is_prime(num):
            if num > largest_prime:
                largest_prime = num

    sum_of_","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpwqlce5qm.py"", line 28
    temp_prime //=
                  ^
SyntaxError: invalid syntax
"
HumanEval/95,1,0,False,"def check_dict_case(dict):
    if not dict:
        return False

    # Determine the expected case (0 for lower, 1 for upper) from the first non-empty string key
    expected_case = None

    for key in dict.keys():
        if not isinstance(key, str):
            return False  # Found a non-string","Traceback (most recent call last):
  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpsn7kz356.py"", line 27, in <module>
    check(check_dict_case)
    ~~~~~^^^^^^^^^^^^^^^^^
  File ""C:\Users\Imgigi\AppDat"
HumanEval/96,1,1,True,"def count_up_to(n):
    def is_prime(num):
        if num < 2:
            return False
        if num == 2:
            return True
        if num % 2 == 0:
            return False
        i = 3
        while i * i <= num:
            if num % i == 0:
                return False
            i += 2
        return True

    primes = []
    for i in range(2, n):
        if is_prime(i):
            primes.append(i)
    return primes",
HumanEval/97,1,1,True,"def multiply(a, b):
    unit_a = a % 10
    unit_b = b % 10
    return unit_a * unit_b",
HumanEval/98,1,1,True,"def count_upper(s):
    count = 0
    uppercase_vowels = {'A', 'E', 'I', 'O', 'U'}
    for i in range(len(s)):
        if i % 2 == 0 and s[i] in uppercase_vowels:
            count += 1
    return count",
HumanEval/99,1,0,False,"def closest_integer(value):
    num = float(value)

    # If the number is already an integer, return it directly.
    # This handles cases like ""10"" -> 10
    if num == int(num):
        return int(num)

    # Get the floor and ceiling integers
    import math
    lower_int","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmp7la05kaz.py"", line 1
    from two integers, round it away from zero.
IndentationError: unexpected indent
"
HumanEval/100,1,1,True,"def make_a_pile(n):
    pile = []
    current_stones = n
    for _ in range(n):
        pile.append(current_stones)
        current_stones += 2
    return pile",
HumanEval/101,1,1,True,"def words_string(s):
    return s.replace(',', ' ').split()",
HumanEval/102,1,0,False,"def choose_num(x, y):
    if x > y:
        return -1
    
    if y % 2 == 0:
        return y
    else:
        # y is odd, so the largest possible even number is y-1
        candidate = y - 1
        # Check if this candidate is within the range [x, y","Traceback (most recent call last):
  File ""C:\Users\Imgigi\AppData\Local\Temp\tmp1vrmfzbq.py"", line 27, in <module>
    check(choose_num)
    ~~~~~^^^^^^^^^^^^
  File ""C:\Users\Imgigi\AppData\Local\Te"
HumanEval/103,1,1,True,"def rounded_avg(n, m):
    if n > m:
        return -1
    
    avg_val = (n + m) / 2
    rounded_val = round(avg_val)
    binary_string = bin(rounded_val)
    
    return binary_string",
HumanEval/104,1,0,False,"def unique_digits(x):
    filtered_numbers = []
    for num in x:
        has_even_digit = False
        # Convert number to string to iterate through its digits
        s_num = str(num)
        for char_digit in s_num:
            digit = int(char_digit)
            if digit % 2","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpkmjz6ghw.py"", line 9
    if digit % 2
                ^
SyntaxError: expected ':'
"
HumanEval/105,1,1,True,"def by_length(arr):
    digit_names = {
        1: ""One"", 2: ""Two"", 3: ""Three"", 4: ""Four"", 5: ""Five"",
        6: ""Six"", 7: ""Seven"", 8: ""Eight"", 9: ""Nine""
    }

    filtered_and_sorted = sorted([n for n in arr if 1 <= n <= 9])
    
    reversed_numbers = filtered_and_sorted[::-1]
    
    result = [digit_names[n] for n in reversed_numbers]
    
    return result",
HumanEval/106,1,1,True,"def f(n):
    result = []
    current_factorial = 1
    current_sum = 0
    for i in range(1, n + 1):
        current_factorial *= i
        current_sum += i
        if i % 2 == 0:  # i is even
            result.append(current_factorial)
        else:  # i is odd
            result.append(current_sum)
    return result",
HumanEval/107,1,1,True,"def even_odd_palindrome(n):
    even_count = 0
    odd_count = 0
    for i in range(1, n + 1):
        s = str(i)
        if s == s[::-1]:
            if i % 2 == 0:
                even_count += 1
            else:
                odd_count += 1
    return (even_count, odd_count)",
HumanEval/108,1,0,False,"def count_nums(arr):
    def sum_digits(num):
        if num == 0:
            return 0
        
        if num > 0:
            s = 0
            temp_num = num
            while temp_num > 0:
                s += temp_num % 10
                temp_num //=","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpkke85ec7.py"", line 11
    temp_num //=
                ^
SyntaxError: invalid syntax
"
HumanEval/109,1,0,False,"def move_one_ball(arr):
    n = len(arr)

    if n <= 1:
        return True

    descents = 0
    for i in range(n - 1):
        if arr[i] > arr[i+1]:
            descents += 1

    if descents == 0:","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpg6wfe_fl.py"", line 14
    def check(candidate):
IndentationError: expected an indented block after 'if' statement on line 12
"
